quarter,districtoccur,psa,race,gender,age_range,n_stopped,n_searched,n_arrested,n_contraband,n_frisked,n_intruded,quarter_dt,quarter_str,q_str,year
2014-07-01,09,1,asian,Male,35-44,4,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Male,45-54,42,0,0,0,1,1,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,other_race,Female,25-34,1,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,asian,Male,55-64,2,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Male,<25,21,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Female,<25,15,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Male,25-34,51,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Male,<25,9,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Male,35-44,49,1,0,0,1,1,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Male,35-44,5,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,other_race,Female,35-44,3,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Female,55-64,17,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Female,35-44,2,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Male,45-54,4,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Male,55-64,28,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-10-01,09,1,latino,Male,65+,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Male,35-44,19,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,other_race,Female,35-44,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,asian,Male,45-54,4,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,other_race,Male,45-54,2,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Male,45-54,29,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Female,25-34,7,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,asian,Male,25-34,2,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Female,45-54,8,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,other_race,Female,25-34,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Male,25-34,37,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,other_race,Male,65+,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,other_race,Male,25-34,11,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
