is_young,is_male,young_male,young_female,older_male,older_female,obscured_view,clock_minutes,dow,year,police_area,assigned_unit,is_summer,weight
0,1,0,0,1,0,0,1208,2,2022,14-2,14TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1130,0,2022,14-2,14TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1215,0,2022,14-2,14TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1099,2,2022,14-2,14TH DISTRICT,1,0.1833520184190115
0,1,0,0,1,0,1,1217,3,2022,14-2,14TH DISTRICT,0,0.3006359690362954
0,1,0,0,1,0,1,1092,1,2022,14-2,14TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1170,4,2022,14-2,14TH DISTRICT,0,0.08029646286345592
1,0,0,1,0,0,1,1231,4,2022,14-2,14TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1042,1,2022,14-2,14TH DISTRICT,0,0.08029646286345592
1,0,0,1,0,0,1,1160,3,2022,39-3,39TH DISTRICT,0,0.16624883638488158
0,1,0,0,1,0,1,1110,0,2022,39-3,39TH DISTRICT,0,0.24683967273999913
0,1,0,0,1,0,1,1118,5,2022,39-3,39TH DISTRICT,0,0.30000892585298616
1,0,0,1,0,0,0,1057,2,2022,39-3,39TH DISTRICT,0,0.29805538353132316
0,1,0,0,1,0,1,1183,4,2022,39-3,39TH DISTRICT,0,0.29396515429534137
1,1,1,0,0,0,0,1057,0,2022,39-3,39TH DISTRICT,0,0.285728561628888
1,1,1,0,0,0,0,1040,4,2022,39-3,39TH DISTRICT,0,0.2758520184190115
1,0,0,1,0,0,0,1068,2,2022,39-3,39TH DISTRICT,0,0.21225239432626913
1,1,1,0,0,0,0,1050,5,2022,39-2,39TH DISTRICT,0,0.2004550097252892
0,0,0,0,0,1,0,1140,4,2022,39-3,39TH DISTRICT,0,0.1707430781376359
1,1,1,0,0,0,0,1100,2,2022,39-3,39TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1035,4,2022,39-3,39TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1177,4,2022,39-3,39TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1098,5,2022,39-3,39TH DISTRICT,1,0.08029646286345592
1,0,0,1,0,0,0,1040,4,2022,39-3,39TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1119,5,2022,39-3,39TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1109,3,2022,39-3,39TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1028,5,2022,39-3,39TH DISTRICT,1,0.15707309280634157
0,0,0,0,0,1,0,1064,5,2022,39-3,39TH DISTRICT,0,0.32335201841901146
0,1,0,0,1,0,1,1096,0,2022,39-3,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1193,4,2022,39-3,39TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1147,5,2022,12-3,12TH DISTRICT,0,0.17517489986604634
1,0,0,1,0,0,1,1170,2,2022,12-3,12TH DISTRICT,0,0.31668535175234486
1,1,1,0,0,0,1,1150,6,2022,12-3,12TH DISTRICT,0,0.2924878208881473
0,0,0,0,0,1,1,1148,4,2022,12-2,12TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1080,6,2022,12-3,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1099,1,2022,12-2,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1080,3,2022,12-4,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1225,4,2022,12-2,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1150,6,2022,12-2,12TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1225,5,2022,12-2,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1110,0,2022,12-2,12TH DISTRICT,0,0.14764766913042637
0,1,0,0,1,0,1,1200,2,2022,12-4,12TH DISTRICT,0,0.15746474969592655
0,1,0,0,1,0,0,1165,4,2022,12-2,12TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1140,2,2022,12-4,12TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1118,6,2022,12-3,12TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,1,1160,5,2022,12-2,12TH DISTRICT,0,0.08029646286345592
1,0,0,1,0,0,1,1080,0,2022,12-3,12TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1220,5,2022,12-2,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,0,1088,3,2022,35-2,35TH DISTRICT,0,0.32585201841901146
0,1,0,0,1,0,1,1155,6,2022,19-1,HIGHWAY PATROL,0,0.2671039473724758
1,0,0,1,0,0,1,1166,4,2022,16-1,16TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,0,1150,5,2022,12-2,12TH DISTRICT,0,0.09140617123361122
1,1,1,0,0,0,0,1122,6,2022,12-4,12TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,0,1085,0,2022,12-2,12TH DISTRICT,1,0.1180757836562851
0,1,0,0,1,0,1,1200,3,2022,12-3,12TH DISTRICT,0,0.3161866982042575
0,1,0,0,1,0,0,1115,5,2022,12-4,12TH DISTRICT,0,0.3198495900573755
0,1,0,0,1,0,1,1184,6,2022,12-3,12TH DISTRICT,0,0.32198627697169435
0,1,0,0,1,0,0,1080,4,2022,12-4,12TH DISTRICT,0,0.330105687246106
1,0,0,1,0,0,1,1140,6,2022,12-2,12TH DISTRICT,0,0.3291853517523448
0,1,0,0,1,0,1,1193,2,2022,12-4,12TH DISTRICT,0,0.27585201841901147
0,0,0,0,0,1,0,1083,5,2022,12-3,12TH DISTRICT,0,0.08029646286345592
